FID,POINT_X,POINT_Y
0,36578324.4,2434377.666
1,36591601.79,2440589.521
2,36609643.87,2420478.437
3,36551250.01,2421614.314
4,36565774.31,2412970.29
5,36567240.76,2421121.881
6,36624004.87,2419180.85
7,36577337.63,2418622.757
8,36616665.84,2427951.002
9,36601247.82,2431588.149
10,36603084.82,2427886.829
11,36600124.32,2429576.496
12,36603143.83,2425952.331
13,36587396.67,2429420.524
14,36624003.39,2414517.027
15,36621447.15,2424243.504
16,36585312.82,2455791.159
17,36589609.6,2461839.777
18,36591429.95,2449530.344
19,36577952.66,2420570.311
20,36578936.46,2422882.286
21,36580051.05,2421008.34
22,36578844.29,2450109.342
23,36585890.38,2444487.359
24,36592059.78,2448398.365
25,36579617.11,2417120.61
26,36574057.51,2415428.508
27,36579841.86,2405401.71
28,36593534.63,2404283.442
29,36559154.29,2437146.964
30,36556598.98,2439581.86
31,36606047.32,2408283.575
