FID,osm_id,code,fclass,name,POINT_X,POINT_Y
0,3167856571,2501,supermarket,沃尔玛（一号门）,36577425.217 ,2419077.419
1,3167857816,2504,mall,梦之岛（二号门）,36577426.578 ,2419173.613
2,3167863563,2203,cinema,横店电影城,36577248.436 ,2418356.121
3,3167864177,2501,supermarket,协盛超市,36577207.845 ,2418378.791
4,3167902367,2501,supermarket,商业大厦,36577094.461 ,2417925.468
5,3167929033,2082,school,钦州学院,36573959.318 ,2418963.627
6,3167929034,2082,school,英华国际学校,36573596.845 ,2418961.945
7,3167929035,2110,hospital,钦州市第二人民医院,36576673.037 ,2417894.03
8,3168010311,2082,school,沙埠中学,36579142.463 ,2416867.299
9,3168821776,2008,town_hall,钦北区政府,36580384.522 ,2420697.086
10,4330798691,2082,school,人和春天小学,36580287.301 ,2418116.404
11,4895531323,2721,attraction,三娘湾,36594287.454 ,2381794.356
12,4895534227,2721,attraction,白石护,36578376.432 ,2415790.813
13,4895534228,2721,attraction,白石湖,36578431.962 ,2415648.257
