FID,fclass,name,POINT_X,POINT_Y
0,town,大垌镇,36578324.4,2434377.666
1,town,平吉镇,36591601.79,2440589.521
2,town,那彭镇,36609643.87,2420478.437
3,town,大直镇,36551250.01,2421614.314
4,town,康熙岭镇,36565774.31,2412970.29
5,town,黄屋屯镇,36567240.76,2421121.881
6,village,大碑,36624004.87,2419180.85
7,city,钦州市,36577337.63,2418622.757
8,village,白石坪,36616665.84,2427951.002
9,village,簕菜山,36601247.82,2431588.149
10,village,上那婆垌,36603084.82,2427886.829
11,village,细岭头,36600124.32,2429576.496
12,village,增塘,36603143.83,2425952.331
13,town,久隆镇,36587396.67,2429420.524
14,village,大毛竹,36624003.39,2414517.027
15,village,分边垌,36621447.15,2424243.504
16,town,板城镇,36585312.82,2455791.159
17,village,新城,36589609.6,2461839.777
18,village,平沙,36591429.95,2449530.344
19,town,子材街道,36577952.66,2420570.311
20,town,长田街道,36578936.46,2422882.286
21,town,鸿亭街道,36580051.05,2421008.34
22,village,那料,36578844.29,2450109.342
23,village,那榃,36585890.38,2444487.359
24,village,平沙,36592059.78,2448398.365
25,town,沙埠镇,36579617.11,2417120.61
26,town,尖山街道,36574057.51,2415428.508
27,town,大番坡镇,36579841.86,2405401.71
28,town,东场镇,36593534.63,2404283.442
29,town,大寺镇,36559154.29,2437146.964
30,village,敦民,36556598.98,2439581.86
31,town,那丽镇,36606047.32,2408283.575
