FID,OBJECTID,osm_id,code,fclass,name,POINT_X,POINT_Y
0,2,3167857816,2504,mall,梦之岛（二号门）,108.749089799999993,21.866201899699998
1,3,3167863563,2203,cinema,横店电影城,108.747327999999996,21.858827500400000
2,6,3167929033,2082,school,北部湾大学,108.715537200000000,21.864454699900001
3,7,3167929034,2082,school,英华国际学校,108.712030499999997,21.864454699700001
4,8,3167929035,2110,hospital,钦州市第二人民医院,108.741740199999995,21.854679799600000
5,9,3168010311,2082,school,沙埠中学,108.765578599999998,21.845298900200000
6,10,3168821776,2008,town_hall,钦北区政府,108.777780000000007,21.879826699900001
7,11,4330798691,2082,school,人和春天小学,108.776713299999997,21.856526900100000
8,12,4895531323,2721,attraction,三娘湾,108.910078200000001,21.527839899699998
9,13,4895534227,2721,attraction,白石护,108.758117700000000,21.835612099999999
10,14,4895534228,2721,attraction,白石湖,108.758647999999994,21.834322300200000
